onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	worker_id
3.516	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.576	s611
6.123728	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.86	s611
8.732	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.461	s611
11.339864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.411	s611
13.948592000000001	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.507	s611
16.556455999999997	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.754	s611
19.17	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.562	s611
21.783864	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.633	s611
24.396864	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.946	s611
27.004864	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.621	s611
29.618864000000002	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.807	s611
32.231728	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.489	s611
34.840864	1.7	0.0	71.0	spatial	attention_network_task	down	right	incongruent	89	0.577	s611
37.447592	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.713	s611
40.057	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.578	s611
42.664864	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.459	s611
45.273	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.571	s611
47.883864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.783	s611
50.496048	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.505	s611
53.106728000000004	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.472	s611
55.718864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.647	s611
58.329	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.527	s611
60.936864	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.551	s611
63.545	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.512	s611
66.15886400000001	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.589	s611
68.766728	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.591	s611
71.37572800000001	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.536	s611
73.982864	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.699	s611
76.591	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.583	s611
79.199864	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.511	s611
81.812	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.449	s611
84.419728	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.685	s611
87.029	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.717	s611
89.637	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.572	s611
92.244864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.491	s611
94.852728	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.55	s611
97.465592	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.705	s611
100.075	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.725	s611
102.681864	1.7	0.0	71.0	double	attention_network_task	up	right	congruent	89	0.69	s611
105.290864	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.581	s611
107.899	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.538	s611
110.506592	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.713	s611
113.114456	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.459	s611
115.723864	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.634	s611
118.329864	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.695	s611
120.94	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.491	s611
123.553	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.595	s611
126.160864	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.718	s611
128.772	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.719	s611
131.381864	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.636	s611
133.99	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.575	s611
136.597592	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.563	s611
139.208	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.698	s611
141.814184	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.647	s611
144.42232	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.578	s611
147.031	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.472	s611
149.638864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.536	s611
152.246864	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.93	s611
154.854864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.806	s611
157.463	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.555	s611
160.072864	1.7	0.0	89.0	spatial	attention_network_task	up	left	incongruent	71	0.667	s611
162.67904800000002	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.452	s611
164.971864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.535	s611
167.585592	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.536	s611
180.705048	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.554	s611
183.311864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.547	s611
185.921728	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.668	s611
188.529728	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.594	s611
191.139	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.495	s611
193.748	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.503	s611
196.354728	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.542	s611
198.966	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.548	s611
201.576	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.72	s611
204.184728	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.604	s611
206.793	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.531	s611
209.400864	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.683	s611
212.012728	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.517	s611
214.622	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.574	s611
217.232	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.819	s611
219.844	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.879	s611
222.452	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.535	s611
225.065	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.539	s611
227.673	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.975	s611
230.280728	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.663	s611
232.888864	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.55	s611
235.500912	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.627	s611
238.110728	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.54	s611
240.718864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.594	s611
243.326864	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.461	s611
245.935	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.433	s611
248.543	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.718	s611
251.151	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.502	s611
253.761	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.726	s611
256.367864	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.582	s611
258.975728	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.744	s611
261.583864	1.7	0.0	71.0	spatial	attention_network_task	down	right	congruent	89	0.626	s611
